letter_a,letter_b,distance
è,v,2.992188
è,w,1.854861
è,x,2.625482
è,y,2.370923
è,z,2.195662
è,à,1.794272
è,â,2.064096
è,ç,1.891672
è,è,1.811931
è,é,3.365988
è,ê,2.089301
è,î,1.858791
è,ï,1.792439
è,ô,2.015001
è,û,1.850283
è,ü,1.706318
é,a,3.656639
é,b,3.782076
é,c,3.860271
é,d,3.799372
é,e,3.873185
é,f,3.762841
é,g,3.766158
é,h,3.673327
é,i,3.733827
é,j,3.322325
é,k,3.161330
é,l,3.888850
é,m,3.756224
é,n,3.876720
é,o,3.742667
é,p,3.750614
é,q,3.455422
é,r,3.977004
é,s,3.777300
é,t,3.916623
é,u,3.842002
é,v,3.711545
é,w,3.064901
é,x,3.598377
é,y,3.421225
é,z,3.296175
é,à,2.970860
é,â,3.169268
é,ç,3.092932
é,è,3.365988
é,é,3.234498
é,ê,3.231266
é,î,3.056882
é,ï,3.021185
é,ô,3.135352
é,û,3.161279
é,ü,2.971304
ê,a,2.978007
ê,b,2.787052
ê,c,2.941456
ê,d,2.968237
ê,e,3.393301
ê,f,2.867509
ê,g,2.924320
ê,h,2.601521
ê,i,2.963289
ê,j,2.136373
ê,k,1.938560
ê,l,3.035788
ê,m,2.800515
ê,n,3.030474
ê,o,2.988273
ê,p,2.807313
ê,q,2.325087
ê,r,3.173745
ê,s,3.045710
ê,t,3.051256
ê,u,2.903362
ê,v,2.811319
ê,w,1.614323
ê,x,2.570448
ê,y,2.257339
ê,z,2.003629
ê,à,1.517077
ê,â,1.723511
ê,ç,1.628362
ê,è,2.089301
ê,é,3.231266
ê,ê,1.436717
ê,î,1.551812
ê,ï,1.585872
ê,ô,1.709712
ê,û,1.606030
ê,ü,1.437426
î,a,2.724208
î,b,2.550179
î,c,2.727705
î,d,2.834678
î,e,3.276049
î,f,2.681925
î,g,2.720404
î,h,2.503158
î,i,2.804634
î,j,1.858551
î,k,1.560758
î,l,2.788974
î,m,2.683766
î,n,2.792321
î,o,2.767232
î,p,2.581911
î,q,2.058436
î,r,3.015411
î,s,2.814637
î,t,2.877703
î,u,2.788770
î,v,2.586746
î,w,1.240933
î,x,2.356270
î,y,1.971253
î,z,1.717188
î,à,1.158671
î,â,1.470408
î,ç,1.254734
î,è,1.858791
î,é,3.056882
î,ê,1.551812
î,î,0.985142
î,ï,1.159396
î,ô,1.427031
î,û,1.249638
î,ü,1.048629
ï,a,2.680955
ï,b,2.567505
ï,c,2.765501
ï,d,2.867782
ï,e,3.257727
ï,f,2.635399
ï,g,2.658224
ï,h,2.488062
ï,i,2.747382
ï,j,1.875453
ï,k,1.534335
ï,l,2.820484
ï,m,2.663533
ï,n,2.793702
ï,o,2.784530
ï,p,2.568647
ï,q,2.072295
ï,r,3.081346
ï,s,2.790524
ï,t,2.917262
ï,u,2.745154
ï,v,2.579614
ï,w,1.159986
ï,x,2.302653
ï,y,1.989184
ï,z,1.715133
ï,à,1.131079
ï,â,1.414894
ï,ç,1.183635
ï,è,1.792439
ï,é,3.021185
ï,ê,1.585872
ï,î,1.159396
ï,ï,0.943879
ï,ô,1.378689
ï,û,1.220056
ï,ü,0.976773
ô,a,2.814237
ô,b,2.723919
ô,c,2.858236
ô,d,2.961778
ô,e,3.314380
ô,f,2.779161
ô,g,2.764844
ô,h,2.546318
ô,i,2.865186
ô,j,2.067477
ô,k,1.728118
ô,l,2.913905
ô,m,2.706061
ô,n,2.911160
ô,o,2.882988
ô,p,2.678752
ô,q,2.209486
ô,r,3.160964
ô,s,2.939572
ô,t,3.021300
ô,u,2.846503
ô,v,2.729345
ô,w,1.426577
ô,x,2.376000
ô,y,2.058990
ô,z,1.928616
ô,à,1.352840
ô,â,1.626289
ô,ç,1.493498
ô,è,2.015001
ô,é,3.135352
ô,ê,1.709712
ô,î,1.427031
ô,ï,1.378689
ô,ô,1.288220
ô,û,1.443084
ô,ü,1.255318
û,a,2.790557
û,b,2.517291
û,c,2.813489
û,d,2.918506
û,e,3.341126
û,f,2.645451
û,g,2.759650
û,h,2.457005
û,i,2.879437
û,j,2.036423
û,k,1.627679
û,l,2.869227
û,m,2.671337
û,n,2.859340
û,o,2.849489
û,p,2.637339
û,q,2.160372
û,r,3.092567
û,s,2.888000
û,t,2.921979
û,u,2.794587
û,v,2.670831
û,w,1.295693
û,x,2.326081
û,y,2.056373
û,z,1.789993
û,à,1.234970
û,â,1.478277
û,ç,1.289867
û,è,1.850283
û,é,3.161279
û,ê,1.606030
û,î,1.249638
û,ï,1.220056
û,ô,1.443084
û,û,1.051555
û,ü,1.098630
ü,a,2.643051
ü,b,2.463370
ü,c,2.716375
ü,d,2.803929
ü,e,3.191916
ü,f,2.581363
ü,g,2.643155
ü,h,2.382440
ü,i,2.680388
ü,j,1.824664
ü,k,1.408130
ü,l,2.785526
ü,m,2.593769
ü,n,2.794115
ü,o,2.726430
ü,p,2.483677
ü,q,2.011556
ü,r,2.994535
ü,s,2.761237
ü,t,2.861331
ü,u,2.675814
ü,v,2.539692
ü,w,1.052853
ü,x,2.254265
ü,y,1.861000
ü,z,1.617954
ü,à,0.951317
ü,â,1.264864
ü,ç,1.108686
ü,è,1.706318
ü,é,2.971304
ü,ê,1.437426
ü,î,1.048629
ü,ï,0.976773
ü,ô,1.255318
ü,û,1.098630
ü,ü,0.730551
