letter_a,letter_b,distance
ä,b,3.034831
ä,d,3.338224
ä,e,3.602082
ä,f,3.034330
ä,g,2.907752
ä,h,3.515925
ä,i,3.669257
ä,j,3.527443
ä,k,3.489283
ä,l,3.643508
ä,m,3.651073
ä,n,3.773059
ä,o,3.629395
ä,p,3.505232
ä,r,3.668442
ä,s,3.748153
ä,t,3.812961
ä,u,3.610027
ä,v,3.680521
ä,y,3.459903
ä,ä,3.088871
ä,ö,3.348594
ö,a,3.451825
ö,b,2.456720
ö,d,2.934902
ö,e,3.452458
ö,f,2.477736
ö,g,2.402350
ö,h,3.090293
ö,i,3.394270
ö,j,3.284961
ö,k,3.207792
ö,l,3.318568
ö,m,3.378383
ö,n,3.554686
ö,o,3.381133
ö,p,3.046805
ö,r,3.313261
ö,s,3.436198
ö,t,3.491361
ö,u,3.338209
ö,v,3.375198
ö,y,3.208737
ö,ä,3.348594
ö,ö,2.312082
